id_venta,fecha,ciudad,canal,sku,producto,categoria_txt,unidades,precio_unitario,descuento,costo_unitario,metodo_pago,cliente_id,documento_cliente,id_factura,vendedor_id,estado
38,2025-12-30,CALI,Distribuidor,SKU-424,Headset,pantallas,1.0,156149,34%,$ 189.698,PSE,1068,86564442,56827,220,pendiente
39,2025-02-24,medellin,Distribuidor,SKU-988,Mouse,pantallas,3.0,$ 590.303,0.32,628521,nequi,1048,55148100,59417,241,pendiente
40,2025-09-01,Barranquilla,Distribuidor,SKU-931,Headset,computo,4.0,1008651,0.11,857606,nequi,1038,11216953,58359,200,completada
41,2025-11-16, Bogota ,Distribuidor,SKU-256,Headset,pantallas,-1.0,996684,10%,1553148,TC,1001,78637338,53685,231,cancelada
42,2025-11-05,Barranquilla,TIENDA,SKU-767,Headset,computo,5.0,776556,0.09,$ 1.101.319,nequi,1038,52812443,58277,219,completada
43,2025-11-03,medellin,Online,SKU-750,Mouse,pantallas,3.0,1074153,0.14,1789397,credit card,1020,59335065,59869,246,completada
44,2025-05-15,Cartagena,Online,SKU-732,Mouse,computo,1.0,$ 826.434,0.2,465415,TC,1039,84374448,51982,235,completada
45,2025-01-21, Bogota ,TIENDA,SKU-676,Laptop,pantallas,2.0,2167863,0.18,,credit card,1081,85947753,54944,238,completada
46,2025-11-25, Bogota ,TIENDA,SKU-718,Teclado,computo,1.0,441863,0.09,$ 668.288,TC,1053,52849684,57892,229,completada
47,2025-06-16,CALI,TIENDA, SKU-758 ,Teclado,accesorios,1.0,579119,5%,1448498,nequi,1011,81781888,59678,206,cancelada
48,2025-10-01,CALI,TIENDA,SKU-236,Laptop,computo,1.0,1824240,0.01,1617294,TC,1080,92295285,58191,221,completada
49,2025-03-30,Cartagena,Distribuidor,SKU-773,Laptop,pantallas,4.0,$ 1.951.506,0.06,43834,tarjeta,1036,24038009,58633,249,completada
50,2025-11-12,,Online,SKU-527,Tablet,pantallas,4.0,1983957,0.28,$ 563.723,PSE,1037,88883510,58462,244,pendiente
51,2025-01-14,Cartagena,Distribuidor,SKU-551,Headset,audio,5.0,2362094,0.1,1150788,nequi,1014,92804048,50343,209,completada
52,2025-08-30,CALI,Online,SKU-711,Laptop,computo,2.0,2212271,19%,$ 1.643.661,PSE,1006,80565843,59398,207,completada
53,2025-09-22,CALI,Online,SKU-949,Monitor,accesorios,3.0,843265,0.24,$ 451.770,nequi,1077,57087000,53081,226,completada
54,2025-12-12, Bogota ,TIENDA,SKU-918,Teclado,computo,3.0,1062137,35%,593843,PSE,1049,75498188,56637,209,completada
55,2025-02-22,Barranquilla,Distribuidor,SKU-240,Laptop,computo,3.0,2167907,0.36,100350,tarjeta,1064,71733080,59449,213,completada
56,2025-12-06,medellin,TIENDA,SKU-182,Monitor,accesorios,1.0,$ 1.221.988,0.3,$ 29.716,PSE,1066,43417989,52291,245,cancelada
57,2025-02-04,CALI,Distribuidor,SKU-276,Monitor,computo,4.0,871426,0.01,$ 1.123.837,TC,1043,31077014,51532,210,completada
58,2025-09-21,CALI,Online,SKU-297,Monitor,accesorios,2.0,1656748,0.23,960032,PSE,1030,87385459,54362,205,cancelada
59,2025-02-04,Barranquilla,TIENDA,SKU-723,Tablet,accesorios,1.0,1610346,31%,803427,nequi,1042,59509069,51653,220,completada
60,2025-07-25,Barranquilla,TIENDA,SKU-667,Tablet,computo,4.0,$ 1.122.801,1%,$ 1.610.278,credit card,1076,90279861,54988,232,completada
61,2025-03-22,Cartagena,Online,SKU-790,Monitor,computo,4.0,2307073,0.22,1732780,PSE,1047,15662110,56344,218,completada
62,2025-02-19,Cartagena,Online,SKU-520,Tablet,pantallas,2.0,260617,0.34,707019,PSE,1081,41009413,58430,238,completada
63,2025-12-26,medellin,Online,SKU-500,Headset,pantallas,2.0,$ 625.398,0.19,1079098,PSE,1080,44872586,59106,223,completada
64,2025-01-02,medellin,TIENDA,SKU-797,Monitor,audio,,$ 133.606,0%,$ 1.562.241,nequi,1080,27593676,51438,217,completada
65,2025-02-23, Bogota ,Distribuidor,SKU-570,Headset,audio,1.0,1607514,0.0,$ 1.455.352,PSE,1060,72456830,53016,234,completada
66,2025-04-16,Cartagena,TIENDA,SKU-317,Headset,computo,5.0,1097506,0.17,1924042,nequi,1074,99939723,59652,242,completada
67,2025-09-17,CALI,Distribuidor,SKU-927,Monitor,accesorios,2.0,,0.06,$ 1.892.330,nequi,1083,54107765,58166,236,completada
68,2025-06-11,Cartagena,TIENDA,SKU-828,Teclado,audio,5.0,280102,0.27,344782,credit card,1009,75665473,56389,218,completada
69,2025-07-10,CALI,TIENDA, SKU-731 ,Monitor,computo,1.0,1342521,0.28,902766,TC,1028,46119092,55977,223,completada
70,2025-06-08,Barranquilla,Online, SKU-274 ,Monitor,audio,5.0,1644224,0.07,1727460,nequi,1047,50885858,53079,233,completada
71,2025-02-13,Cartagena,Distribuidor,SKU-122,Tablet,accesorios,3.0,$ 167.631,36%,$ 570.134,tarjeta,1097,15420278,56295,221,completada
72,2025-06-11,Barranquilla,TIENDA,SKU-824,Monitor,computo,5.0,1363054,18%,875075,PSE,1080,65543184,52258,203,completada
73,2025-07-21,medellin,TIENDA,SKU-334,Teclado,accesorios,2.0,$ 2.353.697,6%,992600,tarjeta,1061,75802267,58558,209,completada
74,2025-09-27,medellin,Online,SKU-112,Tablet,computo,1.0,$ 1.746.334,31%,1702794,PSE,1012,71145493,52991,201,completada
75,2025-12-17, Bogota ,Online,SKU-200,Mouse,audio,2.0,,0.32,1350119,credit card,1043,14236901,53741,207,cancelada
76,2025-10-31,Cartagena,Distribuidor, SKU-635 ,Mouse,pantallas,3.0,$ 2.397.347,0.26,$ 745.520,nequi,1046,18058630,50085,232,completada
77,2025-09-28,Barranquilla,TIENDA,SKU-975,Headset,audio,2.0,,0.34,238734,TC,1063,94756750,52493,237,completada
78,2025-03-08,CALI,Distribuidor,SKU-622,Headset,audio,2.0,1749187,28%,1063278,nequi,1090,31407455,56447,242,cancelada
79,2025-09-09,medellin,TIENDA,SKU-884,Teclado,pantallas,2.0,$ 287.291,0.35,759027,PSE,1052,44906903,58323,227,completada
80,2025-07-09,medellin,Distribuidor,SKU-551,Laptop,pantallas,4.0,1643372,17%,138182,TC,1089,22669890,57588,209,completada
81,2025-10-23,CALI,Online,SKU-530,Mouse,computo,3.0,$ 1.350.363,0.3,63591,nequi,1091,74990969,50903,244,completada
82,2025-01-08,Barranquilla,TIENDA,SKU-892,Headset,computo,2.0,123535,0.4,$ 1.215.362,TC,1076,46868929,55083,200,completada
83,2025-07-27,Barranquilla,Distribuidor,SKU-705,Mouse,accesorios,2.0,$ 1.067.861,0.29,$ 1.038.671,PSE,1075,33428685,59413,233,pendiente
84,2025-08-25,Cartagena,Online,SKU-812,Teclado,accesorios,2.0,1365528,0.05,$ 1.361.597,credit card,1043,25365416,56190,202,cancelada
85,2025-12-04,Cartagena,Online, SKU-632 ,Teclado,audio,,1581014,0.21,99106,credit card,1027,17666001,59955,208,completada
86,2025-02-22,,Distribuidor, SKU-951 ,Laptop,pantallas,4.0,$ 742.648,0.23,$ 1.665.882,nequi,1001,75676594,52804,204,pendiente
87,2025-10-07,medellin,TIENDA,SKU-822,Laptop,accesorios,1.0,603247,0.07,376998,tarjeta,1056,82744363,51226,241,completada
88,2025-08-05,Cartagena,TIENDA,SKU-751,Tablet,audio,4.0,415065,39%,179486,PSE,1056,28657630,51284,209,completada
89,2025-09-09,Barranquilla,Online,SKU-392,Teclado,pantallas,2.0,2447474,0.07,1708696,nequi,1033,18626686,50689,211,cancelada
90,2025-07-07,CALI,TIENDA,SKU-909,Headset,computo,3.0,1899573,7%,$ 625.864,nequi,1086,97271948,55143,217,completada
91,2025-10-02,Barranquilla,TIENDA,SKU-200,Mouse,audio,5.0,$ 957.687,0.37,$ 749.303,credit card,1057,57833579,54782,220,completada
92,2025-06-06,medellin,TIENDA,SKU-601,Monitor,computo,5.0,$ 1.069.708,0.19,1842528,TC,1051,42913291,54881,220,completada
93,2025-01-15,Barranquilla,Online,SKU-403,Laptop,accesorios,2.0,771972,0.03,1764404,PSE,1028,79994065,54507,200,completada
94,2025-10-28, Bogota ,Distribuidor,SKU-970,Monitor,accesorios,1.0,279427,0.24,750062,TC,1034,10043016,51996,202,completada
95,2025-03-06,medellin,TIENDA,SKU-639,Headset,pantallas,-1.0,2259155,0.24,$ 742.468,PSE,1074,37706864,54381,204,completada
96,2025-12-11,CALI,Online,SKU-652,Laptop,audio,4.0,802516,3%,107508,tarjeta,1047,78443860,57680,224,completada
97,2025-11-23, Bogota ,Online, SKU-454 ,Monitor,computo,2.0,$ 2.377.681,0.39,1372555,credit card,1032,32775343,59301,248,completada
98,2025-01-09,medellin,Distribuidor,SKU-402,Headset,pantallas,3.0,$ 2.370.760,0.22,733693,tarjeta,1074,71710132,50429,207,pendiente
99,2025-10-12,CALI,TIENDA,SKU-595,Mouse,accesorios,3.0,$ 734.261,0.22,1630328,nequi,1072,22076583,55700,216,cancelada
100,2025-09-05, Bogota ,TIENDA,SKU-757,Headset,accesorios,,1593908,0.21,$ 913.886,credit card,1077,13698538,53781,208,completada
101,2025-05-16, Bogota ,Distribuidor,SKU-867,Tablet,audio,3.0,2294915,0.24,693283,nequi,1008,99578263,58794,231,pendiente
102,2025-03-04,medellin,Distribuidor,SKU-326,Laptop,computo,1.0,251807,0.11,$ 1.179.638,tarjeta,1047,49200481,58631,205,completada
103,2025-05-19,Cartagena,Online,SKU-335,Teclado,audio,1.0,44363,0.11,994359,PSE,1066,30376683,59176,248,completada
104,2025-03-22, Bogota ,Online, SKU-972 ,Mouse,computo,1.0,414798,0.2,1917453,nequi,1092,86608756,55468,239,completada
105,2025-12-06, Bogota ,Distribuidor,SKU-991,Monitor,computo,3.0,2065990,0.32,$ 387.598,TC,1082,87720830,54507,220,completada
106,2025-10-16,CALI,TIENDA,SKU-554,Laptop,audio,1.0,,0.02,1971914,PSE,1035,48295584,50527,206,completada
107,2025-09-18,Barranquilla,Online, SKU-112 ,Teclado,pantallas,4.0,1405049,0.24,637672,PSE,1095,24214166,52996,206,completada
108,2025-08-19,medellin,Online,SKU-309,Headset,audio,3.0,2118772,0.32,$ 1.786.555,tarjeta,1070,80904652,53467,246,completada
109,2025-10-02,medellin,TIENDA, SKU-840 ,Teclado,audio,5.0,$ 1.392.944,0.06,716506,tarjeta,1091,92743092,51361,238,completada
110,2025-01-28,Cartagena,Online,SKU-496,Laptop,accesorios,3.0,1518447,0.01,$ 1.385.752,credit card,1043,23938736,56817,226,pendiente
111,2025-05-15,Cartagena,TIENDA,SKU-199,Laptop,accesorios,4.0,712894,0.13,1439241,credit card,1081,26310733,50703,207,completada
112,2025-07-20,medellin,TIENDA,SKU-130,Tablet,audio,5.0,1565288,0.9,917810,TC,1059,87830733,50662,208,pendiente
113,2025-11-24,Cartagena,TIENDA, SKU-997 ,Tablet,audio,3.0,1795565,0.06,,PSE,1062,79701967,58556,227,pendiente
114,2025-09-25,CALI,Distribuidor,SKU-627,Teclado,accesorios,1.0,2297476,17%,279814,TC,1004,32758757,59114,214,completada
115,2025-02-02,medellin,Distribuidor,SKU-748,Headset,computo,2.0,1615123,22%,1362239,TC,1086,62520057,56256,201,completada
116,2025-02-17,Cartagena,Distribuidor, SKU-428 ,Teclado,audio,2.0,40655,0.24,,tarjeta,1085,32023611,58367,206,completada
117,2025-03-03,medellin,TIENDA,SKU-265,Laptop,pantallas,1.0,$ 2.019.085,0.11,990315,TC,1089,43577305,55297,246,pendiente
118,2025-08-04,Barranquilla,TIENDA,SKU-558,Laptop,pantallas,2.0,$ 969.133,16%,118565,TC,1075,70044703,59127,217,completada
119,2025-10-20, Bogota ,Distribuidor,SKU-921,Monitor,pantallas,2.0,2009690,0.31,,nequi,1039,93490168,58573,221,completada
120,2025-09-04,medellin,Online,SKU-199,Tablet,audio,,$ 470.400,0.38,906588,credit card,1018,93722995,55378,249,completada
121,2025-06-21, Bogota ,TIENDA,SKU-720,Monitor,computo,1.0,1090178,0.34,1753198,credit card,1046,47977233,50305,209,completada
122,2025-12-26,Cartagena,Online,SKU-954,Mouse,computo,3.0,$ 686.470,23%,$ 200.964,PSE,1064,94591419,55497,249,pendiente
123,2025-08-02, Bogota ,Online,SKU-272,Laptop,accesorios,3.0,,0.16,1613459,credit card,1066,84998649,54697,232,completada
124,2025-02-04,medellin,TIENDA,SKU-848,Monitor,audio,1.0,1411538,0.13,$ 1.251.855,PSE,1090,53176588,52390,206,cancelada
125,2025-08-15,Barranquilla,TIENDA,SKU-261,Teclado,computo,4.0,1849074,5%,$ 1.061.094,nequi,1017,37883393,57222,202,completada
126,2025-11-04,Cartagena,Online,SKU-827,Tablet,audio,2.0,191236,0.04,1310237,credit card,1049,38726098,57933,213,completada
127,2025-05-11,medellin,Online,SKU-875,Tablet,accesorios,3.0,$ 109.743,28%,1228088,nequi,1029,53655278,51465,243,pendiente
128,2025-09-14,Cartagena,Distribuidor,SKU-362,Headset,accesorios,2.0,467875,10%,$ 1.334.350,credit card,1065,31978990,57852,245,completada
129,2025-05-01,CALI,Distribuidor,SKU-903,Teclado,accesorios,5.0,1975206,0.1,1488042,credit card,1004,56506776,50402,235,pendiente
130,2025-06-08, Bogota ,TIENDA, SKU-373 ,Headset,pantallas,1.0,,40%,1323876,nequi,1092,10243761,56940,212,completada
131,2025-09-12,CALI,Distribuidor,SKU-102,Monitor,audio,4.0,778795,8%,1303220,TC,1096,56380165,52670,215,completada
132,2025-12-25,medellin,Distribuidor,SKU-127,Mouse,accesorios,5.0,834468,0.06,769108,TC,1041,38863059,58095,215,completada
133,2025-10-10,Barranquilla,Distribuidor,SKU-425,Teclado,audio,5.0,1784688,0.04,1957469,TC,1083,33891286,59993,204,pendiente
134,2025-07-26,Cartagena,Distribuidor,SKU-248,Teclado,pantallas,5.0,259647,0.23,747878,TC,1093,74699037,58368,224,pendiente
135,2025-01-15, Bogota ,Online,SKU-639,Teclado,pantallas,1.0,$ 1.399.401,0.25,1137767,credit card,1004,16633381,54544,237,completada
136,2025-12-12,,TIENDA,SKU-587,Headset,accesorios,3.0,309962,0.15,1016622,tarjeta,1049,99135417,58934,237,completada
137,2025-02-11,medellin,Distribuidor,SKU-921,Monitor,accesorios,,$ 339.849,21%,1164167,nequi,1084,23507165,55660,249,completada
138,2025-06-28,Cartagena,Online,SKU-537,Teclado,computo,3.0,564392,0.32,1651617,tarjeta,1057,83279069,56074,237,completada
139,2025-03-04, Bogota ,Online, SKU-164 ,Teclado,audio,5.0,$ 406.480,33%,1567053,tarjeta,1078,87185592,52348,238,completada
140,2025-12-18,medellin,Online,SKU-455,Tablet,accesorios,5.0,$ 1.924.611,0.38,1648384,PSE,1083,84285049,56850,247,completada
141,2025-08-19,Cartagena,Distribuidor, SKU-632 ,Mouse,computo,4.0,$ 1.820.200,0.33,281152,TC,1007,83110691,54402,240,pendiente
142,2025-08-29,Barranquilla,Distribuidor,SKU-351,Tablet,audio,3.0,444632,0.23,$ 1.501.256,credit card,1030,37139568,50750,225,completada
143,2025-02-21,medellin,TIENDA,SKU-334,Tablet,accesorios,5.0,1592732,7%,384552,TC,1011,93074391,59060,212,cancelada
144,2025-06-04,medellin,Distribuidor,SKU-326,Mouse,computo,,1960593,4%,$ 277.640,TC,1020,46076621,54062,243,completada
145,2025-08-10,Barranquilla,Distribuidor,SKU-624,Monitor,computo,4.0,$ 1.529.837,0.02,376911,tarjeta,1093,44496583,57434,225,completada
146,2025-08-19,CALI,Online,SKU-412,Tablet,audio,1.0,$ 1.378.990,0.27,$ 1.061.251,PSE,1061,90953409,58405,200,pendiente
147,2025-08-25, Bogota ,TIENDA, SKU-148 ,Monitor,computo,4.0,1271717,0.32,300356,TC,1090,10476015,51617,207,completada
148,2025-05-23,,Distribuidor, SKU-217 ,Tablet,audio,2.0,1511625,0.2,$ 1.870.645,nequi,1089,77985475,52530,203,cancelada
149,2025-06-20,Cartagena,Distribuidor,SKU-153,Laptop,audio,3.0,1400188,0.9,846659,nequi,1032,69057344,53333,220,pendiente
150,2025-01-29,Barranquilla,Online,SKU-749,Mouse,audio,1.0,1357218,0.21,$ 1.539.205,TC,1025,17429174,57234,221,completada
151,2025-05-02,CALI,Online,SKU-664,Tablet,pantallas,,$ 1.689.745,0.37,921185,tarjeta,1089,24707667,59789,236,completada
152,2025-01-13,,Distribuidor,SKU-143,Laptop,computo,3.0,1482333,0.24,1183694,tarjeta,1099,66407418,55768,248,completada
153,2025-06-09,Cartagena,TIENDA,SKU-914,Headset,audio,4.0,590217,32%,$ 1.802.282,credit card,1039,75082317,57707,202,completada
154,2025-11-23,Cartagena,TIENDA, SKU-152 ,Laptop,accesorios,-1.0,143199,0.32,287028,PSE,1064,46981927,50511,218,completada
155,2025-07-06,,Online,SKU-685,Teclado,pantallas,4.0,1300101,0.37,131481,tarjeta,1058,16860184,55082,200,completada
156,2025-08-31,CALI,Online,SKU-657,Tablet,pantallas,2.0,$ 1.356.748,31%,83259,credit card,1014,30848152,56860,228,completada
157,2025-03-27,Barranquilla,Distribuidor,SKU-624,Laptop,computo,5.0,$ 2.146.697,0.3,64810,nequi,1000,52299010,50252,222,completada
158,2025-10-11, Bogota ,Online,SKU-776,Monitor,audio,4.0,1672433,0.09,1193502,nequi,1010,31185637,54133,232,completada
159,2025-03-07,CALI,Distribuidor,SKU-201,Headset,computo,3.0,2148825,0.02,$ 1.592.625,nequi,1054,18375065,58820,240,completada
160,2025-06-19,CALI,TIENDA,SKU-891,Tablet,pantallas,2.0,444190,21%,1846278,TC,1001,93304231,53476,222,completada
161,2025-02-14,medellin,TIENDA,SKU-869,Teclado,audio,2.0,1484889,0.05,$ 31.375,PSE,1064,38421925,59178,204,completada
162,2025-03-03,Cartagena,Distribuidor,SKU-948,Laptop,accesorios,2.0,908943,0.38,253117,credit card,1094,11972645,51725,206,completada
163,2025-05-14, Bogota ,Online, SKU-967 ,Headset,audio,,1423864,0.12,957722,PSE,1043,47705667,52093,205,completada
164,2025-10-11,medellin,TIENDA,SKU-497,Tablet,pantallas,1.0,$ 2.140.677,0.34,$ 1.225.213,TC,1015,32039005,51701,248,completada
165,2025-01-28,Barranquilla,Online,SKU-237,Headset,accesorios,5.0,$ 2.263.267,0.16,117654,credit card,1021,34388509,58496,221,completada
166,2025-04-18,Barranquilla,TIENDA, SKU-774 ,Teclado,audio,4.0,,0.13,834407,credit card,1017,64775927,55834,248,cancelada
167,2025-02-13,CALI,Distribuidor,SKU-486,Laptop,accesorios,1.0,2036307,0.37,$ 1.746.009,tarjeta,1046,96601446,54340,212,completada
168,2025-06-12,CALI,Distribuidor,SKU-210,Headset,accesorios,4.0,$ 2.124.417,0.15,215798,PSE,1080,44704544,52807,211,completada
169,2025-10-13,Barranquilla,Distribuidor,SKU-713,Headset,pantallas,1.0,$ 829.195,0.16,147955,PSE,1029,19195168,56301,203,pendiente
170,2025-11-27,,TIENDA,SKU-116,Mouse,accesorios,5.0,1275300,0.04,,tarjeta,1009,86798029,57572,207,cancelada
171,2025-05-08, Bogota ,Online, SKU-879 ,Headset,computo,2.0,35733,27%,$ 1.768.565,nequi,1098,32510629,51024,236,completada
172,2025-12-14,CALI,Online,SKU-281,Mouse,pantallas,,918628,0.9,$ 1.783.106,TC,1057,55419913,52975,230,completada
173,2025-08-19,Cartagena,Online,SKU-983,Laptop,computo,2.0,2416716,0.23,,PSE,1061,35952696,58698,236,completada
174,2025-07-09,CALI,TIENDA,SKU-635,Tablet,accesorios,5.0,$ 2.107.560,0.24,$ 547.669,tarjeta,1084,20415643,54856,244,completada
175,2025-08-13,medellin,TIENDA,SKU-640,Tablet,computo,1.0,$ 1.046.281,0.29,$ 159.867,credit card,1079,43494309,56724,225,pendiente
176,2025-10-10, Bogota ,TIENDA,SKU-270,Laptop,audio,2.0,1089634,0.3,$ 77.999,tarjeta,1005,63974651,59245,242,completada
177,2025-01-05,medellin,TIENDA, SKU-508 ,Laptop,accesorios,5.0,2363453,0.21,327051,nequi,1066,17945982,52567,207,pendiente
178,2025-04-26,medellin,TIENDA,SKU-839,Monitor,audio,4.0,$ 1.365.649,0.13,1990718,TC,1040,23865640,54587,239,completada
179,2025-08-21,Cartagena,Online,SKU-477,Laptop,computo,3.0,1021675,0.33,$ 871.899,nequi,1042,36695275,54922,232,pendiente
180,2025-09-16, Bogota ,TIENDA,SKU-287,Headset,audio,2.0,2077244,0.12,1892631,credit card,1084,44357346,55046,244,completada
181,2025-12-25, Bogota ,TIENDA,SKU-957,Tablet,accesorios,1.0,2279586,0.2,708852,credit card,1076,66132764,52894,228,completada
182,2025-07-17, Bogota ,Online,SKU-329,Teclado,audio,4.0,1677528,0.16,434627,credit card,1017,16514329,57203,204,completada
183,2025-05-17, Bogota ,TIENDA,SKU-932,Tablet,computo,5.0,$ 2.194.749,34%,912156,credit card,1057,71039730,57478,227,completada
184,2025-11-14, Bogota ,Online,SKU-951,Mouse,computo,3.0,1861049,0.17,$ 1.215.182,tarjeta,1059,88918401,55274,239,completada
185,2025-06-14,Cartagena,Online,SKU-218,Tablet,computo,1.0,$ 98.209,15%,1485973,credit card,1087,41489680,59292,216,cancelada
186,2025-08-13,CALI,Distribuidor,SKU-255,Monitor,accesorios,5.0,644152,0.28,380213,credit card,1026,58699170,59828,222,completada
187,2025-11-03,medellin,Distribuidor,SKU-883,Laptop,computo,5.0,2265772,0.24,$ 559.284,tarjeta,1067,98148991,59647,244,completada
188,2025-08-22, Bogota ,Distribuidor,SKU-786,Laptop,accesorios,2.0,186562,4%,1791025,credit card,1021,18214025,53613,208,completada
189,2025-06-21,CALI,Distribuidor, SKU-564 ,Tablet,audio,2.0,$ 2.324.310,0.2,$ 1.169.258,nequi,1023,28115439,50038,201,completada
190,2025-06-01,CALI,TIENDA,SKU-203,Teclado,computo,1.0,$ 996.264,0.29,360753,nequi,1039,88744296,53084,231,pendiente
191,2025-11-11,medellin,Distribuidor,SKU-703,Teclado,audio,5.0,306453,40%,524220,PSE,1073,21522730,56265,248,completada
192,2025-06-09,Cartagena,Online,SKU-797,Monitor,pantallas,2.0,,0.25,1005170,nequi,1065,89214100,56598,230,completada
193,2025-04-06,,TIENDA, SKU-894 ,Mouse,audio,3.0,$ 1.621.582,0.15,$ 1.748.341,TC,1039,92673678,52415,206,completada
